5.1
	3505978  7
	4546455  8
	4657345  6
5.2
	Rodzaj:	Stacjonarny
	
Etykiety wierszy	Liczba z nr
03.07.2017	67
04.07.2017	68
05.07.2017	79
06.07.2017	78
07.07.2017	69
10.07.2017	73
11.07.2017	60
12.07.2017	70
13.07.2017	67
14.07.2017	74
17.07.2017	76
18.07.2017	74
19.07.2017	67
20.07.2017	75
21.07.2017	73
24.07.2017	77
25.07.2017	79
26.07.2017	78
27.07.2017	70
28.07.2017	68
31.07.2017	82
Suma końcowa	1524
	
	
	
	
	
	
Rodzaj:	Komurkowy
	
Etykiety wierszy	Liczba z nr
03.07.2017	27
04.07.2017	23
05.07.2017	24
06.07.2017	20
07.07.2017	31
10.07.2017	23
11.07.2017	27
12.07.2017	27
13.07.2017	24
14.07.2017	24
17.07.2017	26
18.07.2017	17
19.07.2017	24
20.07.2017	20
21.07.2017	25
24.07.2017	30
25.07.2017	27
26.07.2017	24
27.07.2017	22
28.07.2017	24
31.07.2017	23
Suma końcowa	512

5.3
	Ile połączeń	Ilość minut:
		21	192

5.4
			Cena
	Komórkowe	24,00 zł
	Stacjonarne	20,00 zł
	Zagraniczne	906,00 zł
	Suma		1 000,00 zł
